"tab_code","表章項目","area_code","都道府県","time_code","時間軸(年次)","unit","value"
"10270","婚姻件数","00000","全国","2024000000","2024年","件","485092"
"10270","婚姻件数","00000","全国","2023000000","2023年","件","474741"
"10270","婚姻件数","00000","全国","2022000000","2022年","件","504930"
"10270","婚姻件数","00000","全国","2021000000","2021年","件","501138"
"10270","婚姻件数","00000","全国","2020000000","2020年","件","525507"
"10270","婚姻件数","00000","全国","2019000000","2019年","件","599007"
"10270","婚姻件数","00000","全国","2018000000","2018年","件","586481"
"10270","婚姻件数","00000","全国","2017000000","2017年","件","606952"
"10270","婚姻件数","00000","全国","2016000000","2016年","件","620707"
"10270","婚姻件数","00000","全国","2015000000","2015年","件","635225"
"10270","婚姻件数","00000","全国","2014000000","2014年","件","643783"
"10270","婚姻件数","00000","全国","2013000000","2013年","件","660622"
"10270","婚姻件数","00000","全国","2010000000","2010年","件","700222"
"10270","婚姻件数","00000","全国","2005000000","2005年","件","714265"
"10270","婚姻件数","00000","全国","2000000000","2000年","件","798138"
"10270","婚姻件数","00000","全国","1995000000","1995年","件","791888"
"10270","婚姻件数","00000","全国","1990000000","1990年","件","722138"
"10270","婚姻件数","00000","全国","1985000000","1985年","件","735850"
"10270","婚姻件数","00000","全国","1980000000","1980年","件","774702"
"10270","婚姻件数","00000","全国","1975000000","1975年","件","941628"
"10270","婚姻件数","00000","全国","1970000000","1970年","件","1029405"
"10270","婚姻件数","00000","全国","1965000000","1965年","件","954852"
"10270","婚姻件数","00000","全国","1960000000","1960年","件","866115"
"10270","婚姻件数","00000","全国","1955000000","1955年","件","714861"
"10270","婚姻件数","00000","全国","1950000000","1950年","件","715081"
"10270","婚姻件数","00000","全国","1947000000","1947年","件","934170"
"10270","婚姻件数","00000","全国","1935000000","1935年","件","556730"
"10270","婚姻件数","01000","北海道","2024000000","2024年","件","17618"
"10270","婚姻件数","01000","北海道","2023000000","2023年","件","17281"
"10270","婚姻件数","01000","北海道","2022000000","2022年","件","18665"
"10270","婚姻件数","01000","北海道","2021000000","2021年","件","19326"
"10270","婚姻件数","01000","北海道","2020000000","2020年","件","20904"
"10270","婚姻件数","01000","北海道","2019000000","2019年","件","23417"
"10270","婚姻件数","01000","北海道","2018000000","2018年","件","22916"
"10270","婚姻件数","01000","北海道","2017000000","2017年","件","23969"
"10270","婚姻件数","01000","北海道","2016000000","2016年","件","24640"
"10270","婚姻件数","01000","北海道","2015000000","2015年","件","25465"
"10270","婚姻件数","01000","北海道","2014000000","2014年","件","26021"
"10270","婚姻件数","01000","北海道","2013000000","2013年","件","26330"
"10270","婚姻件数","01000","北海道","2010000000","2010年","件","28390"
"10270","婚姻件数","01000","北海道","2005000000","2005年","件","29708"
"10270","婚姻件数","01000","北海道","2000000000","2000年","件","34529"
"10270","婚姻件数","01000","北海道","1995000000","1995年","件","35591"
"10270","婚姻件数","01000","北海道","1990000000","1990年","件","33966"
"10270","婚姻件数","01000","北海道","1985000000","1985年","件","36311"
"10270","婚姻件数","01000","北海道","1980000000","1980年","件","40228"
"10270","婚姻件数","01000","北海道","1975000000","1975年","件","48271"
"10270","婚姻件数","01000","北海道","1970000000","1970年","件","51539"
"10270","婚姻件数","01000","北海道","1965000000","1965年","件","50841"
"10270","婚姻件数","01000","北海道","1960000000","1960年","件","50685"
"10270","婚姻件数","01000","北海道","1955000000","1955年","件","39471"
"10270","婚姻件数","01000","北海道","1950000000","1950年","件","39898"
"10270","婚姻件数","01000","北海道","1947000000","1947年","件","41114"
"10270","婚姻件数","01000","北海道","1935000000","1935年","件","22855"
"10270","婚姻件数","02000","青森県","2024000000","2024年","件","3313"
"10270","婚姻件数","02000","青森県","2023000000","2023年","件","3326"
"10270","婚姻件数","02000","青森県","2022000000","2022年","件","3656"
"10270","婚姻件数","02000","青森県","2021000000","2021年","件","3736"
"10270","婚姻件数","02000","青森県","2020000000","2020年","件","4032"
"10270","婚姻件数","02000","青森県","2019000000","2019年","件","4601"
"10270","婚姻件数","02000","青森県","2018000000","2018年","件","4737"
"10270","婚姻件数","02000","青森県","2017000000","2017年","件","5122"
"10270","婚姻件数","02000","青森県","2016000000","2016年","件","5135"
"10270","婚姻件数","02000","青森県","2015000000","2015年","件","5432"
"10270","婚姻件数","02000","青森県","2014000000","2014年","件","5481"
"10270","婚姻件数","02000","青森県","2013000000","2013年","件","5723"
"10270","婚姻件数","02000","青森県","2010000000","2010年","件","5926"
"10270","婚姻件数","02000","青森県","2005000000","2005年","件","6584"
"10270","婚姻件数","02000","青森県","2000000000","2000年","件","8138"
"10270","婚姻件数","02000","青森県","1995000000","1995年","件","8306"
"10270","婚姻件数","02000","青森県","1990000000","1990年","件","7892"
"10270","婚姻件数","02000","青森県","1985000000","1985年","件","9175"
"10270","婚姻件数","02000","青森県","1980000000","1980年","件","10414"
"10270","婚姻件数","02000","青森県","1975000000","1975年","件","11695"
"10270","婚姻件数","02000","青森県","1970000000","1970年","件","12878"
"10270","婚姻件数","02000","青森県","1965000000","1965年","件","12592"
"10270","婚姻件数","02000","青森県","1960000000","1960年","件","13205"
"10270","婚姻件数","02000","青森県","1955000000","1955年","件","11213"
"10270","婚姻件数","02000","青森県","1950000000","1950年","件","12366"
"10270","婚姻件数","02000","青森県","1947000000","1947年","件","14487"
"10270","婚姻件数","02000","青森県","1935000000","1935年","件","8335"
"10270","婚姻件数","03000","岩手県","2024000000","2024年","件","3284"
"10270","婚姻件数","03000","岩手県","2023000000","2023年","件","3376"
"10270","婚姻件数","03000","岩手県","2022000000","2022年","件","3508"
"10270","婚姻件数","03000","岩手県","2021000000","2021年","件","3673"
"10270","婚姻件数","03000","岩手県","2020000000","2020年","件","3918"
"10270","婚姻件数","03000","岩手県","2019000000","2019年","件","4489"
"10270","婚姻件数","03000","岩手県","2018000000","2018年","件","4439"
"10270","婚姻件数","03000","岩手県","2017000000","2017年","件","4775"
"10270","婚姻件数","03000","岩手県","2016000000","2016年","件","4873"
"10270","婚姻件数","03000","岩手県","2015000000","2015年","件","5243"
"10270","婚姻件数","03000","岩手県","2014000000","2014年","件","5482"
"10270","婚姻件数","03000","岩手県","2013000000","2013年","件","5398"
"10270","婚姻件数","03000","岩手県","2010000000","2010年","件","5724"
"10270","婚姻件数","03000","岩手県","2005000000","2005年","件","6446"
"10270","婚姻件数","03000","岩手県","2000000000","2000年","件","7671"
"10270","婚姻件数","03000","岩手県","1995000000","1995年","件","7179"
"10270","婚姻件数","03000","岩手県","1990000000","1990年","件","6866"
"10270","婚姻件数","03000","岩手県","1985000000","1985年","件","7838"
"10270","婚姻件数","03000","岩手県","1980000000","1980年","件","8662"
"10270","婚姻件数","03000","岩手県","1975000000","1975年","件","10409"
"10270","婚姻件数","03000","岩手県","1970000000","1970年","件","10149"
"10270","婚姻件数","03000","岩手県","1965000000","1965年","件","11124"
"10270","婚姻件数","03000","岩手県","1960000000","1960年","件","12364"
"10270","婚姻件数","03000","岩手県","1955000000","1955年","件","10930"
"10270","婚姻件数","03000","岩手県","1950000000","1950年","件","12885"
"10270","婚姻件数","03000","岩手県","1947000000","1947年","件","14708"
"10270","婚姻件数","03000","岩手県","1935000000","1935年","件","8702"
"10270","婚姻件数","04000","宮城県","2024000000","2024年","件","8157"
"10270","婚姻件数","04000","宮城県","2023000000","2023年","件","7899"
"10270","婚姻件数","04000","宮城県","2022000000","2022年","件","8431"
"10270","婚姻件数","04000","宮城県","2021000000","2021年","件","8595"
"10270","婚姻件数","04000","宮城県","2020000000","2020年","件","8921"
"10270","婚姻件数","04000","宮城県","2019000000","2019年","件","10073"
"10270","婚姻件数","04000","宮城県","2018000000","2018年","件","10328"
"10270","婚姻件数","04000","宮城県","2017000000","2017年","件","10658"
"10270","婚姻件数","04000","宮城県","2016000000","2016年","件","11160"
"10270","婚姻件数","04000","宮城県","2015000000","2015年","件","11334"
"10270","婚姻件数","04000","宮城県","2014000000","2014年","件","11767"
"10270","婚姻件数","04000","宮城県","2013000000","2013年","件","11985"
"10270","婚姻件数","04000","宮城県","2010000000","2010年","件","11972"
"10270","婚姻件数","04000","宮城県","2005000000","2005年","件","12820"
"10270","婚姻件数","04000","宮城県","2000000000","2000年","件","14797"
"10270","婚姻件数","04000","宮城県","1995000000","1995年","件","13967"
"10270","婚姻件数","04000","宮城県","1990000000","1990年","件","12449"
"10270","婚姻件数","04000","宮城県","1985000000","1985年","件","13239"
"10270","婚姻件数","04000","宮城県","1980000000","1980年","件","14375"
"10270","婚姻件数","04000","宮城県","1975000000","1975年","件","16776"
"10270","婚姻件数","04000","宮城県","1970000000","1970年","件","15953"
"10270","婚姻件数","04000","宮城県","1965000000","1965年","件","14722"
"10270","婚姻件数","04000","宮城県","1960000000","1960年","件","15324"
"10270","婚姻件数","04000","宮城県","1955000000","1955年","件","13623"
"10270","婚姻件数","04000","宮城県","1950000000","1950年","件","15461"
"10270","婚姻件数","04000","宮城県","1947000000","1947年","件","20088"
"10270","婚姻件数","04000","宮城県","1935000000","1935年","件","9828"
"10270","婚姻件数","05000","秋田県","2024000000","2024年","件","2247"
"10270","婚姻件数","05000","秋田県","2023000000","2023年","件","2302"
"10270","婚姻件数","05000","秋田県","2022000000","2022年","件","2447"
"10270","婚姻件数","05000","秋田県","2021000000","2021年","件","2618"
"10270","婚姻件数","05000","秋田県","2020000000","2020年","件","2686"
"10270","婚姻件数","05000","秋田県","2019000000","2019年","件","3161"
"10270","婚姻件数","05000","秋田県","2018000000","2018年","件","3052"
"10270","婚姻件数","05000","秋田県","2017000000","2017年","件","3311"
"10270","婚姻件数","05000","秋田県","2016000000","2016年","件","3510"
"10270","婚姻件数","05000","秋田県","2015000000","2015年","件","3613"
"10270","婚姻件数","05000","秋田県","2014000000","2014年","件","3842"
"10270","婚姻件数","05000","秋田県","2013000000","2013年","件","3865"
"10270","婚姻件数","05000","秋田県","2010000000","2010年","件","4281"
"10270","婚姻件数","05000","秋田県","2005000000","2005年","件","4884"
"10270","婚姻件数","05000","秋田県","2000000000","2000年","件","5669"
"10270","婚姻件数","05000","秋田県","1995000000","1995年","件","5923"
"10270","婚姻件数","05000","秋田県","1990000000","1990年","件","5632"
"10270","婚姻件数","05000","秋田県","1985000000","1985年","件","6585"
"10270","婚姻件数","05000","秋田県","1980000000","1980年","件","7793"
"10270","婚姻件数","05000","秋田県","1975000000","1975年","件","9432"
"10270","婚姻件数","05000","秋田県","1970000000","1970年","件","9482"
"10270","婚姻件数","05000","秋田県","1965000000","1965年","件","9662"
"10270","婚姻件数","05000","秋田県","1960000000","1960年","件","11613"
"10270","婚姻件数","05000","秋田県","1955000000","1955年","件","10694"
"10270","婚姻件数","05000","秋田県","1950000000","1950年","件","11845"
"10270","婚姻件数","05000","秋田県","1947000000","1947年","件","16439"
"10270","婚姻件数","05000","秋田県","1935000000","1935年","件","9481"
"10270","婚姻件数","06000","山形県","2024000000","2024年","件","2946"
"10270","婚姻件数","06000","山形県","2023000000","2023年","件","2971"
"10270","婚姻件数","06000","山形県","2022000000","2022年","件","3184"
"10270","婚姻件数","06000","山形県","2021000000","2021年","件","3386"
"10270","婚姻件数","06000","山形県","2020000000","2020年","件","3530"
"10270","婚姻件数","06000","山形県","2019000000","2019年","件","4014"
"10270","婚姻件数","06000","山形県","2018000000","2018年","件","4039"
"10270","婚姻件数","06000","山形県","2017000000","2017年","件","4311"
"10270","婚姻件数","06000","山形県","2016000000","2016年","件","4285"
"10270","婚姻件数","06000","山形県","2015000000","2015年","件","4523"
"10270","婚姻件数","06000","山形県","2014000000","2014年","件","4699"
"10270","婚姻件数","06000","山形県","2013000000","2013年","件","4741"
"10270","婚姻件数","06000","山形県","2010000000","2010年","件","5159"
"10270","婚姻件数","06000","山形県","2005000000","2005年","件","5729"
"10270","婚姻件数","06000","山形県","2000000000","2000年","件","6897"
"10270","婚姻件数","06000","山形県","1995000000","1995年","件","6519"
"10270","婚姻件数","06000","山形県","1990000000","1990年","件","6170"
"10270","婚姻件数","06000","山形県","1985000000","1985年","件","8071"
"10270","婚姻件数","06000","山形県","1980000000","1980年","件","7601"
"10270","婚姻件数","06000","山形県","1975000000","1975年","件","9149"
"10270","婚姻件数","06000","山形県","1970000000","1970年","件","8733"
"10270","婚姻件数","06000","山形県","1965000000","1965年","件","8421"
"10270","婚姻件数","06000","山形県","1960000000","1960年","件","10708"
"10270","婚姻件数","06000","山形県","1955000000","1955年","件","10660"
"10270","婚姻件数","06000","山形県","1950000000","1950年","件","12969"
"10270","婚姻件数","06000","山形県","1947000000","1947年","件","17599"
"10270","婚姻件数","06000","山形県","1935000000","1935年","件","9737"
"10270","婚姻件数","07000","福島県","2024000000","2024年","件","5495"
"10270","婚姻件数","07000","福島県","2023000000","2023年","件","5599"
"10270","婚姻件数","07000","福島県","2022000000","2022年","件","6088"
"10270","婚姻件数","07000","福島県","2021000000","2021年","件","6346"
"10270","婚姻件数","07000","福島県","2020000000","2020年","件","6674"
"10270","婚姻件数","07000","福島県","2019000000","2019年","件","7510"
"10270","婚姻件数","07000","福島県","2018000000","2018年","件","7685"
"10270","婚姻件数","07000","福島県","2017000000","2017年","件","8075"
"10270","婚姻件数","07000","福島県","2016000000","2016年","件","8682"
"10270","婚姻件数","07000","福島県","2015000000","2015年","件","8888"
"10270","婚姻件数","07000","福島県","2014000000","2014年","件","8711"
"10270","婚姻件数","07000","福島県","2013000000","2013年","件","9069"
"10270","婚姻件数","07000","福島県","2010000000","2010年","件","9582"
"10270","婚姻件数","07000","福島県","2005000000","2005年","件","10606"
"10270","婚姻件数","07000","福島県","2000000000","2000年","件","12445"
"10270","婚姻件数","07000","福島県","1995000000","1995年","件","12070"
"10270","婚姻件数","07000","福島県","1990000000","1990年","件","11147"
"10270","婚姻件数","07000","福島県","1985000000","1985年","件","12802"
"10270","婚姻件数","07000","福島県","1980000000","1980年","件","12852"
"10270","婚姻件数","07000","福島県","1975000000","1975年","件","15065"
"10270","婚姻件数","07000","福島県","1970000000","1970年","件","14394"
"10270","婚姻件数","07000","福島県","1965000000","1965年","件","13604"
"10270","婚姻件数","07000","福島県","1960000000","1960年","件","16700"
"10270","婚姻件数","07000","福島県","1955000000","1955年","件","15528"
"10270","婚姻件数","07000","福島県","1950000000","1950年","件","19752"
"10270","婚姻件数","07000","福島県","1947000000","1947年","件","26598"
"10270","婚姻件数","07000","福島県","1935000000","1935年","件","13159"
"10270","婚姻件数","08000","茨城県","2024000000","2024年","件","9414"
"10270","婚姻件数","08000","茨城県","2023000000","2023年","件","9338"
"10270","婚姻件数","08000","茨城県","2022000000","2022年","件","10163"
"10270","婚姻件数","08000","茨城県","2021000000","2021年","件","10021"
"10270","婚姻件数","08000","茨城県","2020000000","2020年","件","10622"
"10270","婚姻件数","08000","茨城県","2019000000","2019年","件","12270"
"10270","婚姻件数","08000","茨城県","2018000000","2018年","件","12332"
"10270","婚姻件数","08000","茨城県","2017000000","2017年","件","12791"
"10270","婚姻件数","08000","茨城県","2016000000","2016年","件","13201"
"10270","婚姻件数","08000","茨城県","2015000000","2015年","件","13499"
"10270","婚姻件数","08000","茨城県","2014000000","2014年","件","13800"
"10270","婚姻件数","08000","茨城県","2013000000","2013年","件","14325"
"10270","婚姻件数","08000","茨城県","2010000000","2010年","件","15044"
"10270","婚姻件数","08000","茨城県","2005000000","2005年","件","15534"
"10270","婚姻件数","08000","茨城県","2000000000","2000年","件","18378"
"10270","婚姻件数","08000","茨城県","1995000000","1995年","件","17519"
"10270","婚姻件数","08000","茨城県","1990000000","1990年","件","15487"
"10270","婚姻件数","08000","茨城県","1985000000","1985年","件","15832"
"10270","婚姻件数","08000","茨城県","1980000000","1980年","件","16803"
"10270","婚姻件数","08000","茨城県","1975000000","1975年","件","18902"
"10270","婚姻件数","08000","茨城県","1970000000","1970年","件","19537"
"10270","婚姻件数","08000","茨城県","1965000000","1965年","件","17002"
"10270","婚姻件数","08000","茨城県","1960000000","1960年","件","16326"
"10270","婚姻件数","08000","茨城県","1955000000","1955年","件","14684"
"10270","婚姻件数","08000","茨城県","1950000000","1950年","件","17913"
"10270","婚姻件数","08000","茨城県","1947000000","1947年","件","22249"
"10270","婚姻件数","08000","茨城県","1935000000","1935年","件","12181"
"10270","婚姻件数","09000","栃木県","2024000000","2024年","件","6537"
"10270","婚姻件数","09000","栃木県","2023000000","2023年","件","6594"
"10270","婚姻件数","09000","栃木県","2022000000","2022年","件","7154"
"10270","婚姻件数","09000","栃木県","2021000000","2021年","件","7127"
"10270","婚姻件数","09000","栃木県","2020000000","2020年","件","7396"
"10270","婚姻件数","09000","栃木県","2019000000","2019年","件","8572"
"10270","婚姻件数","09000","栃木県","2018000000","2018年","件","8182"
"10270","婚姻件数","09000","栃木県","2017000000","2017年","件","8787"
"10270","婚姻件数","09000","栃木県","2016000000","2016年","件","9321"
"10270","婚姻件数","09000","栃木県","2015000000","2015年","件","9452"
"10270","婚姻件数","09000","栃木県","2014000000","2014年","件","9770"
"10270","婚姻件数","09000","栃木県","2013000000","2013年","件","10152"
"10270","婚姻件数","09000","栃木県","2010000000","2010年","件","10616"
"10270","婚姻件数","09000","栃木県","2005000000","2005年","件","11471"
"10270","婚姻件数","09000","栃木県","2000000000","2000年","件","12607"
"10270","婚姻件数","09000","栃木県","1995000000","1995年","件","11844"
"10270","婚姻件数","09000","栃木県","1990000000","1990年","件","10970"
"10270","婚姻件数","09000","栃木県","1985000000","1985年","件","11371"
"10270","婚姻件数","09000","栃木県","1980000000","1980年","件","11949"
"10270","婚姻件数","09000","栃木県","1975000000","1975年","件","14156"
"10270","婚姻件数","09000","栃木県","1970000000","1970年","件","14332"
"10270","婚姻件数","09000","栃木県","1965000000","1965年","件","12303"
"10270","婚姻件数","09000","栃木県","1960000000","1960年","件","11963"
"10270","婚姻件数","09000","栃木県","1955000000","1955年","件","11186"
"10270","婚姻件数","09000","栃木県","1950000000","1950年","件","13520"
"10270","婚姻件数","09000","栃木県","1947000000","1947年","件","18610"
"10270","婚姻件数","09000","栃木県","1935000000","1935年","件","9937"
"10270","婚姻件数","10000","群馬県","2024000000","2024年","件","6246"
"10270","婚姻件数","10000","群馬県","2023000000","2023年","件","6220"
