都道府県,令和6年度合計,窓口,イベント
北海道,18813,10070,8743
青森県,5238,4075,1163
岩手県,10856,7580,3276
宮城県,6558,5008,1550
秋田県,8132,6876,1256
山形県,9654,7327,2327
福島県,20505,16892,3613
茨城県,4442,3649,793
栃木県,9633,8343,1290
群馬県,12050,7012,5038
埼玉県,3343,2379,964
千葉県,7275,5454,1821
東京都,3533,2419,1114
神奈川県,4770,4157,613
新潟県,9438,7919,1519
富山県,8490,6531,1959
石川県,8893,7359,1534
福井県,11844,9837,2007
山梨県,4816,3092,1724
長野県,25891,18674,7217
岐阜県,5631,4972,659
静岡県,14838,12183,2655
愛知県,5449,4196,1253
三重県,7275,5347,1928
滋賀県,4457,3572,885
京都府,7204,5631,1573
大阪府,514,481,33
兵庫県,16745,14673,2072
奈良県,2680,2308,372
和歌山県,7390,4434,2956
鳥取県,7608,5978,1630
島根県,11678,9227,2451
岡山県,9762,7100,2662
広島県,9382,6746,2636
山口県,14048,11890,2158
徳島県,4665,3084,1581
香川県,5270,3980,1290
愛媛県,7432,4066,3366
高知県,14305,10077,4228
福岡県,12061,11006,1055
佐賀県,4395,3928,467
長崎県,12475,11290,1185
熊本県,12371,9713,2658
大分県,8799,7162,1637
宮崎県,19245,17900,1345
鹿児島県,7750,5864,1886
沖縄県,6207,4573,1634
