カテゴリ,質問,選択肢,割合
転出理由,県内進学しなかった理由,希望する学校がなかった,65.8
転出理由,県内進学しなかった理由,都会で生活したかった,31.2
転出理由,県内進学しなかった理由,親元を離れて暮らしたかった,26.1
転出理由,県内進学しなかった理由,県外の土地で生活したかった,24.2
転出理由,県内進学しなかった理由,都会に出ると将来が開けると思った,20.9
就職,県内就職しなかった理由,給料が低そう,26.6
就職,県内就職しなかった理由,希望する就職先がない,21.7
就職,県内就職しなかった理由,福島県から出たかった,21.4
就職,県内就職しなかった理由,希望する職種がない,16.2
就職,県内就職しなかった理由,希望するキャリアを身に付けられない,10.3
愛着,福島への愛着,とても愛着がある,31.1
愛着,福島への愛着,やや愛着がある,39.5
愛着,福島への愛着,どちらともいえない,10.7
愛着,福島への愛着,あまり愛着はない,10.0
愛着,福島への愛着,愛着がない,8.8
Uターン,戻る可能性,戻る可能性がある,9.8
Uターン,戻る可能性,やや戻る可能性がある,15.4
Uターン,戻る可能性,どちらともいえない,23.0
Uターン,戻る可能性,あまり戻る可能性はない,26
Uターン,戻る可能性,戻る可能性はない,25.8
リモート,Uターン条件,柔軟な働き方ができる,48.6
リモート,Uターン条件,長時間労働が少ない,53.8
リモート,Uターン条件,有給取得率が高い,49.0
リモート,移住定住促進,首都圏の仕事を続けながら福島で暮らせる,30.7
