都道府県,出生数_2018,出生数_2023,出生減少率(%),出生減少率順位,婚姻件数_2018,婚姻件数_2023,婚姻減少率(%),婚姻減少率順位
岩手県,7615,5432,-28.7,1,4439,3376,-23.9,14
秋田県,5040,3611,-28.4,2,3052,2302,-24.6,7
福島県,12495,9019,-27.8,3,7685,5599,-27.1,3
青森県,7803,5696,-27.0,4,4737,3326,-29.8,1
栃木県,13495,9958,-26.2,5,8182,6594,-19.4,38
山形県,6973,5151,-26.1,6,4039,2971,-26.4,4
高知県,4559,3380,-25.9,7,2659,1985,-25.3,5
愛媛県,9330,6950,-25.5,8,5421,4158,-23.3,17
北海道,32642,24430,-25.2,9,22916,17281,-24.6,8
新潟県,14509,10916,-24.8,10,8612,6262,-27.3,2
静岡県,25192,18969,-24.7,11,15768,12387,-21.4,30
長崎県,10135,7656,-24.5,12,5394,4074,-24.5,9
三重県,12582,9524,-24.3,13,7446,6039,-18.9,40
宮城県,16211,12328,-24.0,14,10328,7899,-23.5,16
鹿児島県,12956,9868,-23.8,15,6839,5111,-25.3,6
岐阜県,13720,10469,-23.7,16,7912,6076,-23.2,18
大分県,8200,6259,-23.7,17,4804,3689,-23.2,19
島根県,4887,3759,-23.1,18,2672,2095,-21.6,29
茨城県,19368,14898,-23.1,19,12332,9338,-24.3,12
群馬県,12922,9950,-23.0,20,8088,6220,-23.1,21
宮崎県,8434,6502,-22.9,21,4637,3592,-22.5,23
京都府,17909,13882,-22.5,22,11491,8731,-24.0,13
奈良県,8947,6943,-22.4,23,5234,4019,-23.2,20
香川県,6899,5365,-22.2,24,4236,3296,-22.2,26
鳥取県,4190,3263,-22.1,25,2329,1810,-22.3,25
徳島県,4998,3903,-21.9,26,2910,2277,-21.8,28
広島県,21363,16682,-21.9,27,12613,10083,-20.1,33
熊本県,14301,11189,-21.8,28,7643,5772,-24.5,10
福井県,5826,4563,-21.7,29,3274,2620,-20.0,34
長野県,14184,11125,-21.6,30,8737,6600,-24.5,11
佐賀県,6535,5144,-21.3,31,3449,2730,-20.8,31
愛知県,61230,48402,-21.0,32,39117,31759,-18.8,41
山梨県,5556,4397,-20.9,33,3473,2763,-20.4,32
沖縄県,15732,12549,-20.2,34,7887,6316,-19.9,36
岡山県,14485,11575,-20.1,35,8436,6781,-19.6,37
山口県,8987,7189,-20.0,36,5347,4145,-22.5,24
富山県,6846,5512,-19.5,37,4234,3276,-22.6,22
東京都,107150,86348,-19.4,38,82716,71774,-13.2,46
和歌山県,6070,4901,-19.3,39,3785,2944,-22.2,27
石川県,8359,6757,-19.2,40,4965,3792,-23.6,15
福岡県,42008,33942,-19.2,41,25265,20549,-18.7,42
神奈川県,66564,53991,-18.9,42,45079,38176,-15.3,45
滋賀県,11350,9249,-18.5,43,6455,5230,-19.0,39
兵庫県,39713,32615,-17.9,44,24532,19629,-20.0,35
埼玉県,51241,42108,-17.8,45,32745,27531,-15.9,44
千葉県,43404,35658,-17.8,46,28202,23251,-17.6,43
大阪府,65446,55292,-15.5,47,44365,38513,-13.2,47
