転出先都道府県,性別,年齢階級,転出者数
北海道,総数,15-19歳,49
北海道,総数,20-24歳,139
北海道,総数,25-29歳,114
北海道,総数,30-34歳,74
北海道,男,15-19歳,21
北海道,男,20-24歳,80
北海道,男,25-29歳,61
北海道,男,30-34歳,45
北海道,女,15-19歳,28
北海道,女,20-24歳,59
北海道,女,25-29歳,53
北海道,女,30-34歳,29
青森県,総数,15-19歳,26
青森県,総数,20-24歳,76
青森県,総数,25-29歳,83
青森県,総数,30-34歳,54
青森県,男,15-19歳,18
青森県,男,20-24歳,51
青森県,男,25-29歳,58
青森県,男,30-34歳,34
青森県,女,15-19歳,8
青森県,女,20-24歳,25
青森県,女,25-29歳,25
青森県,女,30-34歳,20
岩手県,総数,15-19歳,42
岩手県,総数,20-24歳,109
岩手県,総数,25-29歳,89
岩手県,総数,30-34歳,55
岩手県,男,15-19歳,29
岩手県,男,20-24歳,70
岩手県,男,25-29歳,50
岩手県,男,30-34歳,35
岩手県,女,15-19歳,13
岩手県,女,20-24歳,39
岩手県,女,25-29歳,39
岩手県,女,30-34歳,20
宮城県,総数,15-19歳,384
宮城県,総数,20-24歳,1138
宮城県,総数,25-29歳,759
宮城県,総数,30-34歳,478
宮城県,男,15-19歳,223
宮城県,男,20-24歳,576
宮城県,男,25-29歳,438
宮城県,男,30-34歳,273
宮城県,女,15-19歳,161
宮城県,女,20-24歳,562
宮城県,女,25-29歳,321
宮城県,女,30-34歳,205
秋田県,総数,15-19歳,32
秋田県,総数,20-24歳,64
秋田県,総数,25-29歳,73
秋田県,総数,30-34歳,36
秋田県,男,15-19歳,16
秋田県,男,20-24歳,39
秋田県,男,25-29歳,45
秋田県,男,30-34歳,22
秋田県,女,15-19歳,16
秋田県,女,20-24歳,25
秋田県,女,25-29歳,28
秋田県,女,30-34歳,14
山形県,総数,15-19歳,87
山形県,総数,20-24歳,186
山形県,総数,25-29歳,135
山形県,総数,30-34歳,85
山形県,男,15-19歳,54
山形県,男,20-24歳,105
山形県,男,25-29歳,79
山形県,男,30-34歳,49
山形県,女,15-19歳,33
山形県,女,20-24歳,81
山形県,女,25-29歳,56
山形県,女,30-34歳,36
福島県,総数,15-19歳,1010
福島県,総数,20-24歳,3424
福島県,総数,25-29歳,4139
福島県,総数,30-34歳,2785
福島県,男,15-19歳,568
福島県,男,20-24歳,1667
福島県,男,25-29歳,2106
福島県,男,30-34歳,1489
福島県,女,15-19歳,442
福島県,女,20-24歳,1757
福島県,女,25-29歳,2033
福島県,女,30-34歳,1296
茨城県,総数,15-19歳,131
茨城県,総数,20-24歳,383
茨城県,総数,25-29歳,297
茨城県,総数,30-34歳,214
茨城県,男,15-19歳,73
茨城県,男,20-24歳,204
茨城県,男,25-29歳,155
茨城県,男,30-34歳,115
茨城県,女,15-19歳,58
茨城県,女,20-24歳,179
茨城県,女,25-29歳,142
茨城県,女,30-34歳,99
栃木県,総数,15-19歳,170
栃木県,総数,20-24歳,337
栃木県,総数,25-29歳,253
栃木県,総数,30-34歳,149
栃木県,男,15-19歳,105
栃木県,男,20-24歳,171
栃木県,男,25-29歳,123
栃木県,男,30-34歳,89
栃木県,女,15-19歳,65
栃木県,女,20-24歳,166
栃木県,女,25-29歳,130
栃木県,女,30-34歳,60
群馬県,総数,15-19歳,54
群馬県,総数,20-24歳,109
群馬県,総数,25-29歳,81
群馬県,総数,30-34歳,60
群馬県,男,15-19歳,30
群馬県,男,20-24歳,70
群馬県,男,25-29歳,45
群馬県,男,30-34歳,39
群馬県,女,15-19歳,24
群馬県,女,20-24歳,39
群馬県,女,25-29歳,36
群馬県,女,30-34歳,21
埼玉県,総数,15-19歳,281
埼玉県,総数,20-24歳,888
埼玉県,総数,25-29歳,479
埼玉県,総数,30-34歳,266
埼玉県,男,15-19歳,141
埼玉県,男,20-24歳,442
埼玉県,男,25-29歳,261
埼玉県,男,30-34歳,159
埼玉県,女,15-19歳,140
埼玉県,女,20-24歳,446
埼玉県,女,25-29歳,218
埼玉県,女,30-34歳,107
千葉県,総数,15-19歳,249
千葉県,総数,20-24歳,618
千葉県,総数,25-29歳,317
千葉県,総数,30-34歳,212
千葉県,男,15-19歳,145
千葉県,男,20-24歳,294
千葉県,男,25-29歳,176
千葉県,男,30-34歳,129
千葉県,女,15-19歳,104
千葉県,女,20-24歳,324
千葉県,女,25-29歳,141
千葉県,女,30-34歳,83
東京都,総数,15-19歳,595
東京都,総数,20-24歳,2118
東京都,総数,25-29歳,947
東京都,総数,30-34歳,521
東京都,男,15-19歳,304
東京都,男,20-24歳,1016
東京都,男,25-29歳,522
東京都,男,30-34歳,294
東京都,女,15-19歳,291
東京都,女,20-24歳,1102
東京都,女,25-29歳,425
東京都,女,30-34歳,227
神奈川県,総数,15-19歳,321
神奈川県,総数,20-24歳,907
神奈川県,総数,25-29歳,445
神奈川県,総数,30-34歳,233
神奈川県,男,15-19歳,202
神奈川県,男,20-24歳,501
神奈川県,男,25-29歳,278
神奈川県,男,30-34歳,132
神奈川県,女,15-19歳,119
神奈川県,女,20-24歳,406
神奈川県,女,25-29歳,167
神奈川県,女,30-34歳,101
新潟県,総数,15-19歳,125
新潟県,総数,20-24歳,168
新潟県,総数,25-29歳,111
新潟県,総数,30-34歳,54
新潟県,男,15-19歳,66
新潟県,男,20-24歳,97
新潟県,男,25-29歳,70
新潟県,男,30-34歳,32
新潟県,女,15-19歳,59
新潟県,女,20-24歳,71
新潟県,女,25-29歳,41
新潟県,女,30-34歳,22
富山県,総数,15-19歳,9
富山県,総数,20-24歳,19
富山県,総数,25-29歳,16
富山県,総数,30-34歳,10
富山県,男,15-19歳,4
富山県,男,20-24歳,14
富山県,男,25-29歳,8
富山県,男,30-34歳,3
富山県,女,15-19歳,5
富山県,女,20-24歳,5
富山県,女,25-29歳,8
富山県,女,30-34歳,7
石川県,総数,15-19歳,19
石川県,総数,20-24歳,12
石川県,総数,25-29歳,28
石川県,総数,30-34歳,22
石川県,男,15-19歳,11
石川県,男,20-24歳,4
石川県,男,25-29歳,15
石川県,男,30-34歳,15
石川県,女,15-19歳,8
石川県,女,20-24歳,8
石川県,女,25-29歳,13
石川県,女,30-34歳,7
福井県,総数,15-19歳,2
福井県,総数,20-24歳,16
福井県,総数,25-29歳,23
福井県,総数,30-34歳,11
福井県,男,15-19歳,1
福井県,男,20-24歳,4
福井県,男,25-29歳,6
福井県,男,30-34歳,2
福井県,女,15-19歳,1
