居住タイプ,N,魅力,割合
合計,1366,自然も便利もある地方都市での暮らし,29.9
合計,1366,地方ならではのアウトドア趣味中心の暮らし,6.1
合計,1366,仕事やボランティアを通して地域に貢献する暮らし,2.9
合計,1366,ワークライフバランスの良い職住近接の暮らし,13.0
合計,1366,親や昔の友達の近くにいる暮らし,17.0
合計,1366,自分好みの快適で広い家での暮らし,5.5
合計,1366,親子にやさしい環境での暮らし,3.3
合計,1366,自然がすぐ近くにある暮らし,10.2
合計,1366,街の趣きや情緒に触れる暮らし,4.8
合計,1366,その他,7.3
UJターン者・都道府県庁所在地,407,自然も便利もある地方都市での暮らし,32.9
UJターン者・都道府県庁所在地,407,地方ならではのアウトドア趣味中心の暮らし,7.4
UJターン者・都道府県庁所在地,407,仕事やボランティアを通して地域に貢献する暮らし,3.4
UJターン者・都道府県庁所在地,407,ワークライフバランスの良い職住近接の暮らし,10.3
UJターン者・都道府県庁所在地,407,親や昔の友達の近くにいる暮らし,27.3
UJターン者・都道府県庁所在地,407,自分好みの快適で広い家での暮らし,2.7
UJターン者・都道府県庁所在地,407,親子にやさしい環境での暮らし,3.7
UJターン者・都道府県庁所在地,407,自然がすぐ近くにある暮らし,6.4
UJターン者・都道府県庁所在地,407,街の趣きや情緒に触れる暮らし,3.2
UJターン者・都道府県庁所在地,407,その他,2.7
UJターン者・それ以外の市部＋町村部,414,自然も便利もある地方都市での暮らし,23.2
UJターン者・それ以外の市部＋町村部,414,地方ならではのアウトドア趣味中心の暮らし,6.0
UJターン者・それ以外の市部＋町村部,414,仕事やボランティアを通して地域に貢献する暮らし,4.3
UJターン者・それ以外の市部＋町村部,414,ワークライフバランスの良い職住近接の暮らし,14.7
UJターン者・それ以外の市部＋町村部,414,親や昔の友達の近くにいる暮らし,27.1
UJターン者・それ以外の市部＋町村部,414,自分好みの快適で広い家での暮らし,3.4
UJターン者・それ以外の市部＋町村部,414,親子にやさしい環境での暮らし,3.4
UJターン者・それ以外の市部＋町村部,414,自然がすぐ近くにある暮らし,9.4
UJターン者・それ以外の市部＋町村部,414,街の趣きや情緒に触れる暮らし,4.1
UJターン者・それ以外の市部＋町村部,414,その他,4.3
Iターン者・都道府県庁所在地,268,自然も便利もある地方都市での暮らし,35.4
Iターン者・都道府県庁所在地,268,地方ならではのアウトドア趣味中心の暮らし,4.5
Iターン者・都道府県庁所在地,268,仕事やボランティアを通して地域に貢献する暮らし,0.7
Iターン者・都道府県庁所在地,268,ワークライフバランスの良い職住近接の暮らし,16.8
Iターン者・都道府県庁所在地,268,親や昔の友達の近くにいる暮らし,0.7
Iターン者・都道府県庁所在地,268,自分好みの快適で広い家での暮らし,9.7
Iターン者・都道府県庁所在地,268,親子にやさしい環境での暮らし,1.5
Iターン者・都道府県庁所在地,268,自然がすぐ近くにある暮らし,11.9
Iターン者・都道府県庁所在地,268,街の趣きや情緒に触れる暮らし,7.1
Iターン者・都道府県庁所在地,268,その他,11.6
Iターン者・それ以外の市部＋町村部,277,自然も便利もある地方都市での暮らし,30.3
Iターン者・それ以外の市部＋町村部,277,地方ならではのアウトドア趣味中心の暮らし,5.8
Iターン者・それ以外の市部＋町村部,277,仕事やボランティアを通して地域に貢献する暮らし,1.8
Iターン者・それ以外の市部＋町村部,277,ワークライフバランスの良い職住近接の暮らし,10.8
Iターン者・それ以外の市部＋町村部,277,親や昔の友達の近くにいる暮らし,2.5
Iターン者・それ以外の市部＋町村部,277,自分好みの快適で広い家での暮らし,8.7
Iターン者・それ以外の市部＋町村部,277,親子にやさしい環境での暮らし,4.3
Iターン者・それ以外の市部＋町村部,277,自然がすぐ近くにある暮らし,15.5
Iターン者・それ以外の市部＋町村部,277,街の趣きや情緒に触れる暮らし,5.8
Iターン者・それ以外の市部＋町村部,277,その他,14.4
