都道府県,性別,年齢階級,転出超過数,人口,転出超過率(%)
北海道,総数,0歳～4歳,-37,162373,-0.0228
北海道,総数,5歳～9歳,-46,189483,-0.0243
北海道,総数,10歳～14歳,-45,203948,-0.0221
北海道,総数,15歳～19歳,-425,221229,-0.1921
北海道,総数,20歳～24歳,-3849,220409,-1.7463
北海道,総数,25歳～29歳,-2351,224130,-1.0489
北海道,総数,30歳～34歳,-557,247463,-0.2251
北海道,総数,35歳～39歳,188,287154,0.0655
北海道,総数,40歳～44歳,218,336549,0.0648
北海道,総数,45歳～49歳,330,388162,0.085
北海道,総数,50歳～54歳,257,345552,0.0744
北海道,総数,55歳～59歳,447,339699,0.1316
北海道,総数,60歳～64歳,568,335380,0.1694
北海道,総数,65歳～69歳,300,395875,0.0758
北海道,総数,70歳～74歳,68,419875,0.0162
北海道,総数,75歳～79歳,27,307446,0.0088
北海道,総数,80歳～84歳,-61,247918,-0.0246
北海道,総数,85歳～89歳,-114,177368,-0.0643
北海道,総数,90歳以上,-80,115541,-0.0692
北海道,男,0歳～4歳,-25,83004,-0.0301
北海道,男,5歳～9歳,-76,96778,-0.0785
北海道,男,10歳～14歳,-3,104728,-0.0029
北海道,男,15歳～19歳,32,113445,0.0282
北海道,男,20歳～24歳,-1543,112616,-1.3701
北海道,男,25歳～29歳,-1073,112587,-0.953
北海道,男,30歳～34歳,-212,124006,-0.171
北海道,男,35歳～39歳,185,142111,0.1302
北海道,男,40歳～44歳,171,166377,0.1028
北海道,男,45歳～49歳,228,191426,0.1191
北海道,男,50歳～54歳,240,166292,0.1443
北海道,男,55歳～59歳,268,162041,0.1654
北海道,男,60歳～64歳,436,160590,0.2715
北海道,男,65歳～69歳,227,185727,0.1222
北海道,男,70歳～74歳,81,189689,0.0427
北海道,男,75歳～79歳,56,129839,0.0431
北海道,男,80歳～84歳,-8,98184,-0.0081
北海道,男,85歳～89歳,-26,63021,-0.0413
北海道,男,90歳以上,-35,29737,-0.1177
北海道,女,0歳～4歳,-12,79369,-0.0151
北海道,女,5歳～9歳,30,92705,0.0324
北海道,女,10歳～14歳,-42,99220,-0.0423
北海道,女,15歳～19歳,-457,107784,-0.424
北海道,女,20歳～24歳,-2306,107793,-2.1393
北海道,女,25歳～29歳,-1278,111543,-1.1457
北海道,女,30歳～34歳,-345,123457,-0.2794
北海道,女,35歳～39歳,3,145043,0.0021
北海道,女,40歳～44歳,47,170172,0.0276
北海道,女,45歳～49歳,102,196736,0.0518
北海道,女,50歳～54歳,17,179260,0.0095
北海道,女,55歳～59歳,179,177658,0.1008
北海道,女,60歳～64歳,132,174790,0.0755
北海道,女,65歳～69歳,73,210148,0.0347
北海道,女,70歳～74歳,-13,230186,-0.0056
北海道,女,75歳～79歳,-29,177607,-0.0163
北海道,女,80歳～84歳,-53,149734,-0.0354
北海道,女,85歳～89歳,-88,114347,-0.077
北海道,女,90歳以上,-45,85804,-0.0524
青森県,総数,0歳～4歳,12,37334,0.0321
青森県,総数,5歳～9歳,-17,43520,-0.0391
青森県,総数,10歳～14歳,-72,48258,-0.1492
青森県,総数,15歳～19歳,-1314,52090,-2.5226
青森県,総数,20歳～24歳,-2533,43854,-5.776
青森県,総数,25歳～29歳,-376,46128,-0.8151
青森県,総数,30歳～34歳,-18,53139,-0.0339
青森県,総数,35歳～39歳,-108,64849,-0.1665
青森県,総数,40歳～44歳,-82,75800,-0.1082
青森県,総数,45歳～49歳,-8,85326,-0.0094
青森県,総数,50歳～54歳,-45,81545,-0.0552
青森県,総数,55歳～59歳,14,84210,0.0166
青森県,総数,60歳～64歳,123,89226,0.1379
青森県,総数,65歳～69歳,81,100699,0.0804
青森県,総数,70歳～74歳,-19,101906,-0.0186
青森県,総数,75歳～79歳,-7,73871,-0.0095
青森県,総数,80歳～84歳,-80,62724,-0.1275
青森県,総数,85歳～89歳,-77,46710,-0.1648
青森県,総数,90歳以上,-16,27033,-0.0592
