都道府県,総人口,15〜34歳人口,15〜34歳比率(%)
北海道,5224614,913231,17.48
青森県,1237984,195211,15.77
岩手県,1210534,196005,16.19
宮城県,2301996,449107,19.51
秋田県,959502,136093,14.18
山形県,1068027,176437,16.52
福島県,1833152,316547,17.27
茨城県,2867009,526082,18.35
栃木県,1933146,355407,18.38
群馬県,1939110,352717,18.19
埼玉県,7344765,1439357,19.6
千葉県,6284480,1239092,19.72
東京都,14047594,3172284,22.58
神奈川県,9237337,1869129,20.23
新潟県,2201272,371795,16.89
富山県,1034814,177561,17.16
石川県,1132526,213924,18.89
福井県,766863,138078,18.01
山梨県,809974,144805,17.88
長野県,2048011,343296,16.76
岐阜県,1978742,356410,18.01
静岡県,3633202,653966,18.0
愛知県,7542415,1564307,20.74
三重県,1770254,321338,18.15
滋賀県,1413610,281279,19.9
京都府,2578087,507185,19.67
大阪府,8837685,1792996,20.29
兵庫県,5465002,988571,18.09
奈良県,1324473,236824,17.88
和歌山県,922584,153359,16.62
鳥取県,553407,94075,17.0
島根県,671126,110854,16.52
岡山県,1888432,351047,18.59
広島県,2799702,524930,18.75
山口県,1342059,221733,16.52
徳島県,719559,113617,15.79
香川県,950244,162888,17.14
愛媛県,1334841,215936,16.18
高知県,691527,107810,15.59
福岡県,5135214,996707,19.41
佐賀県,811442,144371,17.79
長崎県,1312317,215370,16.41
熊本県,1738301,303977,17.49
大分県,1123852,186385,16.58
宮崎県,1069576,174133,16.28
鹿児島県,1588256,253284,15.95
沖縄県,1467480,305794,20.84
